Place,Hotel Name,Latitude,Longitude,Rating,Description,Price,Activity
Mumbai,Elite Mumbai Hotel 135,19.231774,72.782116,4.6,"Free parking, Child-friendly, 24/7 Room service, Pet-friendly, WiFi, Restaurant, Conference room, Balcony view, Mini bar",7679.0,"Cultural Shows, River Cruise, Shopping"
Bengaluru,Heritage Bengaluru Villa 418,17.728467,85.601509,4.2,"Spa services, Child-friendly, Conference room, Coffee maker, Pet-friendly, Balcony view, Bar, Free parking",19581.0,"Cave Exploration, Local Cuisine, Shopping"
Pune,Luxury Pune Hotel 109,18.474372,73.737779,3.0,"AC, Airport shuttle, Mini bar, Bar, Free breakfast, Spa services, Gym, Child-friendly, Business center, Swimming pool",3687.0,"Paragliding, Cave Exploration, Palace Tours"
Pune,Serene Pune Retreat 351,18.54634,73.763602,3.4,"Free breakfast, WiFi, Business center, AC, Laundry service, Swimming pool, Balcony view, Spa services, Conference room",5688.0,"Skiing, Cave Exploration, Camping"
Pune,Elegant Pune Retreat 82,18.537491,73.758369,4.7,"Restaurant, Swimming pool, Gym, Conference room, Free breakfast, Airport shuttle, WiFi",19086.0,"Boat Tours, Heritage Walks, Kayaking"
Pune,Comfort Pune Lodge 291,18.499418,73.842031,4.9,"Bar, AC, Coffee maker, Pet-friendly, Balcony view, Gym",5427.0,"Relaxing, Sightseeing, Street Food Tasting"
Bengaluru,Luxury Bengaluru Hotel 347,20.358712,75.320835,4.8,"Free parking, Free breakfast, Conference room, Business center, WiFi, Airport shuttle, Mini bar, Gym, Spa services, Laundry service",3399.0,"Boat Tours, Camping, Fort Visits"
Mumbai,Comfort Mumbai Suites 344,19.141323,72.819525,4.3,"AC, Airport shuttle, Conference room, WiFi, Child-friendly, Spa services",10166.0,"Sightseeing, Marina Beach Walk, Palace Tours"
Bengaluru,Luxury Bengaluru Lodge 111,20.217458,78.56291,4.8,"Coffee maker, 24/7 Room service, Business center, Conference room, Balcony view, TV with cable",12913.0,"Swimming, Cultural Shows, Kayaking"
Pune,Serene Pune Hotel 344,18.614106,73.730987,3.8,"24/7 Room service, Mini bar, Spa services, Business center, Gym, Swimming pool, Balcony view, Pet-friendly, WiFi",19448.0,"Local Cuisine, River Cruise, Marina Beach Walk"
Pune,Cozy Pune Villa 128,18.46334,73.75382,3.1,"WiFi, Airport shuttle, Restaurant, Spa services, AC, Pet-friendly, 24/7 Room service, Laundry service, Conference room",5508.0,"Palace Tours, Museum Tours, Cave Exploration"
Mumbai,Heritage Mumbai Retreat 125,19.240219,72.813659,4.9,"Pet-friendly, Spa services, Child-friendly, Swimming pool, Airport shuttle, TV with cable, Mini bar, Bar",5189.0,"Fishing, Meditation, Desert Safari"
Mumbai,Elite Mumbai Villa 383,19.153504,72.907281,4.9,"Bar, Coffee maker, Free breakfast, TV with cable, Conference room, Balcony view, Gym, Spa services, 24/7 Room service",6608.0,"Paragliding, Swimming, Skiing"
Bengaluru,Comfort Bengaluru Lodge 281,33.912536,75.398904,3.8,"Restaurant, Laundry service, Bar, Business center, 24/7 Room service, Airport shuttle, Balcony view, Swimming pool, Gym",16581.0,"Tech Park Tours, Taj Mahal Visit, Street Food Tasting"
Mumbai,Elegant Mumbai Hotel 9,18.951746,72.773227,3.9,"Laundry service, Coffee maker, WiFi, Bar, Swimming pool",14628.0,"Marina Beach Walk, Nightlife, Local Cuisine"
Mumbai,Heritage Mumbai Lodge 135,18.989552,72.937977,4.0,"Gym, Pet-friendly, Swimming pool, 24/7 Room service, Restaurant, Coffee maker, Free parking, TV with cable, Airport shuttle, Business center",17289.0,"River Cruise, Museum Visits, Nightlife"
Pune,Serene Pune Haven 111,18.592453,73.787293,4.2,"Mini bar, TV with cable, Swimming pool, Pet-friendly, Bar, Laundry service",18087.0,"General Sightseeing, Taj Mahal Visit, Fort Visits"
Bengaluru,Grand Bengaluru Retreat 50,28.383041,80.850649,4.3,"Free parking, Business center, 24/7 Room service, Airport shuttle, Child-friendly, Free breakfast, WiFi, Pet-friendly, TV with cable",18462.0,"Taj Mahal Visit, Local Cuisine, Skiing"
Pune,Elegant Pune Inn 483,18.492634,73.721917,3.1,"Mini bar, 24/7 Room service, AC, Airport shuttle, Child-friendly, Balcony view, Coffee maker, Pet-friendly",7693.0,"Cultural Tours, Beach Walk, Palace Tours"
Bengaluru,Elegant Bengaluru Palace 332,12.422964,77.777505,3.5,"Mini bar, Free breakfast, 24/7 Room service, Pet-friendly, Gym",17601.0,"Nightlife, Lake Boating, Rock Garden Visit"
Pune,Luxury Pune Villa 307,18.561597,73.985706,5.0,"TV with cable, Pet-friendly, 24/7 Room service, Spa services, Free parking, Coffee maker, Laundry service, Balcony view, Conference room, Airport shuttle",5609.0,"Backwater Cruise, Shopping, Meditation"
Mumbai,Elite Mumbai Resort 431,19.261252,72.764898,3.9,"WiFi, Free breakfast, Laundry service, Bar, Airport shuttle, Spa services, Business center, Free parking, Swimming pool",19330.0,"Paragliding, Museum Visits, Fort Visits"
Mumbai,Serene Mumbai Hotel 116,18.944704,72.935941,3.2,"Airport shuttle, Balcony view, Pet-friendly, Restaurant, Free parking",8287.0,"Museum Visits, Taj Mahal Visit, Kayaking"
Pune,Luxury Pune Retreat 50,18.513193,73.898752,4.5,"Business center, Swimming pool, 24/7 Room service, Balcony view, Free parking, Coffee maker, Gym, TV with cable",4825.0,"Desert Safari, Temple Visits, General Sightseeing"
Pune,Heritage Pune Resort 455,18.60887,73.904914,3.2,"Spa services, Laundry service, Mini bar, Conference room, Restaurant, Free breakfast",2377.0,"Cultural Tours, Sightseeing, Nightlife"
Pune,Royal Pune Resort 400,18.545921,73.75891,4.9,"Business center, TV with cable, Coffee maker, Conference room, Balcony view, Airport shuttle, 24/7 Room service, Bar",8391.0,"River Cruise, Backwater Cruise, Desert Safari"
Mumbai,Elegant Mumbai Palace 11,19.121188,72.902455,3.7,"TV with cable, WiFi, Free parking, Gym, Airport shuttle, Mini bar, Conference room",1405.0,"Paragliding, Camping, Local Cuisine"
Mumbai,Luxury Mumbai Inn 63,19.142745,72.907298,4.6,"WiFi, Pet-friendly, Coffee maker, Restaurant, 24/7 Room service, Gym, Spa services, Free parking, Airport shuttle, Free breakfast",6276.0,"Toy Train Ride, Shopping, Trekking"
Pune,Grand Pune Haven 4,18.489359,73.889738,3.6,"Mini bar, WiFi, Spa services, Free parking, Conference room, 24/7 Room service",16853.0,"Meditation, Boating, Marina Beach Walk"
Pune,Royal Pune Resort 131,18.560417,73.857155,4.7,"WiFi, Business center, 24/7 Room service, Gym, Restaurant, Laundry service",10429.0,"Desert Safari, Palace Tours, Cultural Tours"
Mumbai,Heritage Mumbai Haven 379,19.240693,72.817692,4.0,"AC, TV with cable, 24/7 Room service, Free breakfast, Conference room",13990.0,"Cultural Shows, Fort Visits, Heritage Walk"
Pune,Elite Pune Palace 459,18.639874,73.909977,4.9,"Bar, Pet-friendly, 24/7 Room service, Spa services, Gym",5091.0,"Fishing, Cultural Tours, Boating"
Bengaluru,Cozy Bengaluru Resort 489,22.070509,76.196036,4.1,"WiFi, 24/7 Room service, Balcony view, Gym, Laundry service",2391.0,"River Cruise, Rock Garden Visit, Toy Train Ride"
Bengaluru,Serene Bengaluru Retreat 445,34.35296,75.872492,4.7,"Gym, Bar, Conference room, WiFi, Swimming pool, Business center, Restaurant, 24/7 Room service",15971.0,"Paragliding, Lake Boating, Heritage Walks"
Bengaluru,Heritage Bengaluru Villa 353,23.371131,88.521312,4.5,"Swimming pool, Bar, Laundry service, Free breakfast, Spa services, Coffee maker, Pet-friendly",9548.0,"Fort Visits, Trekking, Boating"
Pune,Comfort Pune Villa 38,18.444974,73.861141,4.0,"Bar, Child-friendly, AC, 24/7 Room service, Airport shuttle, Business center, Balcony view",16062.0,"Shopping, Temple Visits, General Sightseeing"
Bengaluru,Royal Bengaluru Palace 215,26.4334,89.582151,3.6,"Balcony view, Free breakfast, Coffee maker, Airport shuttle, Bar, Conference room",14802.0,"Street Food, Boat Ride on Ganges, Surfing"
Bengaluru,Elegant Bengaluru Haven 260,20.264603,71.827472,3.8,"Pet-friendly, Laundry service, Swimming pool, Child-friendly, Business center, Airport shuttle, Spa services, WiFi, Mini bar, Bar",9451.0,"Fishing, Palace Tours, Shopping"
Mumbai,Heritage Mumbai Villa 442,19.209458,72.924468,4.2,"Child-friendly, Business center, AC, Spa services, Pet-friendly, Bar, Conference room, Airport shuttle, Swimming pool",3293.0,"Lake Boating, Fishing, Relaxing"
Pune,Comfort Pune Inn 242,18.634514,73.943912,3.3,"Laundry service, Spa services, TV with cable, Balcony view, Conference room",13413.0,"Boat Ride on Ganges, Museum Visits, Boating"
Pune,Serene Pune Resort 100,18.502614,73.752622,4.2,"Mini bar, Free breakfast, Coffee maker, Business center, Balcony view, Swimming pool, AC, Child-friendly, TV with cable",5440.0,"Relaxing, Heritage Walks, Nightlife"
Pune,Heritage Pune Hotel 420,18.432742,73.788729,3.3,"Spa services, Free parking, Coffee maker, Pet-friendly, Laundry service, Restaurant, Gym, Child-friendly, Airport shuttle",5445.0,"Cave Exploration, Skiing, River Cruise"
Bengaluru,Luxury Bengaluru Retreat 51,33.900814,76.714643,3.9,"Spa services, Restaurant, AC, Coffee maker, Swimming pool, TV with cable, Mini bar",4909.0,"Trekking, Palace Tours, Lake Boating"
Bengaluru,Elegant Bengaluru Haven 416,22.605713,74.810117,4.0,"Airport shuttle, Gym, Spa services, Conference room, 24/7 Room service",7838.0,"Trekking, Street Food, Lake Boating"
Bengaluru,Serene Bengaluru Resort 381,19.86594,80.312172,3.6,"WiFi, Gym, Pet-friendly, Free breakfast, Coffee maker, 24/7 Room service, Swimming pool",3122.0,"Skiing, Surfing, Taj Mahal Visit"
Mumbai,Elegant Mumbai Lodge 415,19.012485,72.86117,4.2,"Restaurant, Conference room, AC, Balcony view, 24/7 Room service",14875.0,"Backwater Cruise, Nightlife, Heritage Walks"
Pune,Serene Pune Haven 151,18.535627,73.898078,3.8,"Free breakfast, AC, TV with cable, Airport shuttle, 24/7 Room service, Laundry service, Bar, Balcony view",12021.0,"Museum Tours, Shopping, Camping"
Mumbai,Heritage Mumbai Inn 180,18.916126,72.798244,3.0,"Gym, Mini bar, WiFi, Balcony view, Free breakfast",16146.0,"Nightlife, Historical Tours, Shopping"
Mumbai,Grand Mumbai Villa 9,18.993899,72.844265,4.7,"Spa services, Child-friendly, Swimming pool, Laundry service, Mini bar, Restaurant, Gym, AC, TV with cable, Coffee maker",6690.0,"Toy Train Ride, Desert Safari, Temple Visits"
Bengaluru,Luxury Bengaluru Hotel 143,30.27654,79.584015,4.0,"Child-friendly, 24/7 Room service, Bar, AC, Mini bar, Free parking, Restaurant, TV with cable, Business center, Pet-friendly",11218.0,"Kayaking, Fort Visits, Skiing"
Bengaluru,Serene Bengaluru Haven 241,19.224611,81.042015,4.2,"Conference room, Restaurant, Coffee maker, Bar, Pet-friendly, Mini bar",16120.0,"Rock Garden Visit, Paragliding, Fishing"
Mumbai,Elite Mumbai Haven 282,19.009027,72.978497,3.7,"Business center, Free breakfast, WiFi, Balcony view, Bar, Child-friendly, Restaurant, Airport shuttle",9475.0,"Rock Garden Visit, Trekking, Heritage Walk"
Pune,Serene Pune Hotel 234,18.64067,73.71211,3.2,"Child-friendly, Pet-friendly, AC, Laundry service, Airport shuttle, TV with cable, Bar, WiFi, Balcony view, Conference room",5400.0,"Camping, Heritage Walk, Street Food Tasting"
Bengaluru,Serene Bengaluru Inn 96,32.454771,86.422364,3.7,"Spa services, TV with cable, Free breakfast, Restaurant, Pet-friendly, Coffee maker, Airport shuttle, Bar, Swimming pool",3463.0,"Fishing, Boat Tours, Boat Ride on Ganges"
Mumbai,Elite Mumbai Retreat 471,19.249143,72.966856,3.9,"Coffee maker, Airport shuttle, Restaurant, Spa services, WiFi, AC, Free breakfast, Free parking, Conference room, Balcony view",13764.0,"Boat Ride on Ganges, Marina Beach Walk, Trekking"
Bengaluru,Elite Bengaluru Haven 485,28.147374,87.607934,3.0,"Free parking, Mini bar, 24/7 Room service, Bar, Child-friendly",16713.0,"Nightlife, Marina Beach Walk, Relaxing"
Bengaluru,Comfort Bengaluru Lodge 423,29.828392,70.308289,4.1,"Free parking, Gym, Coffee maker, Airport shuttle, Restaurant, Spa services",13018.0,"Skiing, River Cruise, General Sightseeing"
Pune,Royal Pune Palace 248,18.51291,73.701771,3.3,"Spa services, Mini bar, Bar, Restaurant, Free breakfast, Balcony view",7180.0,"Historical Tours, Backwater Cruise, Boating"
Mumbai,Luxury Mumbai Retreat 91,19.173194,72.967902,3.5,"Swimming pool, Free parking, Coffee maker, Mini bar, AC, Balcony view, Free breakfast, Pet-friendly, Restaurant",19579.0,"Relaxing, Sightseeing, Museum Tours"
Bengaluru,Luxury Bengaluru Villa 74,15.208521,77.074787,4.3,"WiFi, Child-friendly, TV with cable, Free parking, Conference room, Gym",10989.0,"Local Cuisine, Sightseeing, Palace Tours"
Pune,Serene Pune Palace 333,18.654442,73.939133,4.1,"Swimming pool, Airport shuttle, WiFi, Laundry service, Coffee maker, Gym",11568.0,"Historical Tours, Meditation, Sightseeing"
Mumbai,Serene Mumbai Inn 154,19.237578,72.975999,4.5,"Spa services, Coffee maker, Balcony view, Restaurant, Business center, Airport shuttle",3136.0,"Sightseeing, Food Tasting, Lake Boating"
Pune,Grand Pune Hotel 84,18.677307,73.734776,4.2,"Child-friendly, Swimming pool, Free parking, TV with cable, WiFi, Bar, Spa services, Airport shuttle",15876.0,"River Cruise, Boat Tours, Cultural Shows"
Mumbai,Serene Mumbai Lodge 182,18.926761,72.951144,4.2,"Bar, Business center, Mini bar, Restaurant, Swimming pool, Free parking",9124.0,"Rock Garden Visit, General Sightseeing, Trekking"
Mumbai,Elite Mumbai Villa 103,19.002857,72.978156,4.2,"Bar, Business center, AC, Pet-friendly, Swimming pool, Child-friendly, Restaurant, Coffee maker, Conference room",19410.0,"Swimming, Nightlife, Relaxing"
Mumbai,Elegant Mumbai Villa 467,19.09887,72.817547,3.6,"Restaurant, Business center, Pet-friendly, 24/7 Room service, Coffee maker, Free breakfast, Spa services, Bar, TV with cable",1899.0,"Street Food, Temple Visits, Paragliding"
Bengaluru,Elegant Bengaluru Inn 173,33.054935,82.422258,3.3,"Laundry service, Child-friendly, Business center, Swimming pool, Coffee maker, AC, Gym",10736.0,"Skiing, Marina Beach Walk, Beach Walk"
Bengaluru,Heritage Bengaluru Lodge 367,15.903703,80.003044,4.9,"AC, Restaurant, Balcony view, Business center, Child-friendly, Gym",5325.0,"Fort Visits, Heritage Walks, Local Cuisine"
Mumbai,Grand Mumbai Palace 333,19.20959,72.912075,3.2,"Restaurant, Coffee maker, Child-friendly, TV with cable, Swimming pool",3658.0,"Museum Visits, Marina Beach Walk, Relaxing"
Mumbai,Elegant Mumbai Haven 87,18.904641,72.860432,4.6,"Restaurant, Pet-friendly, Airport shuttle, Free breakfast, Spa services, Swimming pool, WiFi, Child-friendly",3737.0,"Fishing, Desert Safari, Street Food Tasting"
Bengaluru,Cozy Bengaluru Palace 81,34.743261,89.885317,3.6,"Spa services, Restaurant, Pet-friendly, Mini bar, Free parking, Child-friendly",9494.0,"Relaxing, River Cruise, Kayaking"
Mumbai,Elite Mumbai Hotel 284,19.236073,72.85838,4.1,"Restaurant, Airport shuttle, Balcony view, TV with cable, Bar, Swimming pool, Conference room, Spa services, Business center, WiFi",5442.0,"Swimming, Skiing, Paragliding"
Mumbai,Elite Mumbai Inn 213,19.130618,72.984295,4.0,"Spa services, 24/7 Room service, Child-friendly, Laundry service, Free breakfast, Free parking, Airport shuttle, Restaurant, Bar, AC",7766.0,"Desert Safari, Historical Tours, Palace Tours"
Pune,Elite Pune Hotel 405,18.4781,73.926643,4.8,"24/7 Room service, Spa services, Conference room, Bar, Free breakfast, Restaurant, Balcony view",1192.0,"Lake Boating, General Sightseeing, Taj Mahal Visit"
Mumbai,Cozy Mumbai Palace 465,19.104627,72.816606,3.6,"Conference room, Airport shuttle, AC, Free parking, Business center, Spa services, Coffee maker, TV with cable, Restaurant, Laundry service",19554.0,"Street Food, Backwater Cruise, Taj Mahal Visit"
Mumbai,Heritage Mumbai Suites 381,18.943792,72.769635,4.5,"Gym, Conference room, Free breakfast, Swimming pool, Restaurant, Balcony view",13132.0,"General Sightseeing, Backwater Cruise, Museum Tours"
Bengaluru,Cozy Bengaluru Inn 260,28.95825,83.176059,3.1,"Conference room, TV with cable, Child-friendly, Restaurant, Gym, WiFi",17872.0,"Sightseeing, Rock Garden Visit, Toy Train Ride"
Pune,Grand Pune Lodge 312,18.630666,73.892456,3.7,"Bar, Laundry service, WiFi, Mini bar, Swimming pool, Balcony view",16657.0,"Cultural Tours, Fort Visits, Swimming"
Bengaluru,Grand Bengaluru Haven 160,33.595968,81.296369,3.5,"Pet-friendly, TV with cable, Free parking, Spa services, 24/7 Room service, WiFi",15437.0,"Heritage Walk, Paragliding, Toy Train Ride"
Bengaluru,Elite Bengaluru Retreat 467,18.447733,77.533425,4.5,"Gym, Coffee maker, Business center, Free parking, Swimming pool",18190.0,"Toy Train Ride, Cave Exploration, Marina Beach Walk"
Mumbai,Serene Mumbai Lodge 108,19.175567,72.804414,3.6,"24/7 Room service, Free breakfast, TV with cable, Bar, Pet-friendly, Business center",18161.0,"Fort Visits, Desert Safari, Beach Walk"
Pune,Elegant Pune Resort 42,18.48836,73.965642,3.3,"AC, Coffee maker, 24/7 Room service, Laundry service, Child-friendly, Restaurant, WiFi, Pet-friendly, Bar, Free breakfast",8123.0,"Taj Mahal Visit, Nightlife, Beach Walk"
Mumbai,Serene Mumbai Lodge 469,19.077536,72.896869,3.7,"Child-friendly, Gym, AC, Bar, Spa services, Conference room, Pet-friendly",9826.0,"Heritage Walk, Sightseeing, Surfing"
Pune,Elegant Pune Lodge 58,18.670971,73.884467,3.4,"Business center, TV with cable, Gym, Laundry service, Mini bar",13086.0,"Taj Mahal Visit, Cultural Shows, Camping"
Pune,Elegant Pune Lodge 294,18.628981,73.854494,4.6,"Airport shuttle, Gym, Swimming pool, WiFi, Child-friendly, 24/7 Room service, TV with cable, Spa services, Balcony view",10535.0,"Meditation, Boating, Cave Exploration"
Bengaluru,Grand Bengaluru Hotel 23,22.462196,75.477744,3.0,"AC, TV with cable, Restaurant, Child-friendly, Coffee maker, Free parking, Airport shuttle",13884.0,"Cultural Tours, Temple Visits, Street Food"
Mumbai,Serene Mumbai Retreat 201,19.143154,72.7873,4.9,"Balcony view, Free breakfast, Coffee maker, Restaurant, Pet-friendly",8445.0,"Boating, Rock Garden Visit, River Cruise"
Pune,Cozy Pune Retreat 463,18.540718,73.835209,4.2,"Coffee maker, Balcony view, Gym, Mini bar, Airport shuttle",19836.0,"Museum Visits, Sightseeing, General Sightseeing"
Pune,Luxury Pune Haven 53,18.582225,73.940645,4.7,"Child-friendly, 24/7 Room service, Bar, WiFi, Business center, Swimming pool, Airport shuttle, Spa services",6223.0,"Kayaking, Tech Park Tours, Boat Ride on Ganges"
Pune,Comfort Pune Resort 158,18.488614,73.792545,4.5,"Child-friendly, Free parking, Pet-friendly, AC, Airport shuttle",7282.0,"Heritage Walk, Backwater Cruise, Food Tasting"
Pune,Cozy Pune Hotel 366,18.466058,73.733795,4.4,"WiFi, Laundry service, Balcony view, Free breakfast, Coffee maker, Bar, Mini bar, Swimming pool, Free parking",3535.0,"Backwater Cruise, Boat Ride on Ganges, Marina Beach Walk"
Bengaluru,Grand Bengaluru Suites 339,32.841264,72.975949,3.8,"Laundry service, Swimming pool, 24/7 Room service, Mini bar, Bar, Conference room, Free parking, Business center, Free breakfast, AC",14505.0,"Sightseeing, Trekking, Camping"
Pune,Grand Pune Resort 219,18.595123,73.946996,4.5,"Spa services, Conference room, Restaurant, AC, Gym, Swimming pool",8909.0,"Skiing, Local Cuisine, River Cruise"
Mumbai,Heritage Mumbai Palace 219,19.125785,72.828307,4.3,"Swimming pool, Child-friendly, Gym, Spa services, Pet-friendly, Restaurant",9975.0,"Paragliding, Swimming, Boat Ride on Ganges"
Pune,Elite Pune Suites 364,18.589642,73.888795,3.5,"Bar, Conference room, TV with cable, Business center, AC, Airport shuttle, Swimming pool, 24/7 Room service, Free parking, Child-friendly",7727.0,"Fishing, Cave Exploration, Museum Visits"
Mumbai,Comfort Mumbai Hotel 414,19.22306,72.814163,4.0,"Coffee maker, Conference room, Bar, TV with cable, Restaurant, Business center, WiFi, AC",12594.0,"Backwater Cruise, Local Cuisine, Food Tasting"
Pune,Luxury Pune Inn 168,18.506583,73.739666,3.8,"Coffee maker, Laundry service, Bar, Swimming pool, TV with cable",19507.0,"Trekking, Heritage Walks, Tech Park Tours"
Mumbai,Royal Mumbai Resort 467,18.893193,72.912668,4.9,"24/7 Room service, Child-friendly, Swimming pool, AC, TV with cable, Gym",11817.0,"Marina Beach Walk, Backwater Cruise, Nightlife"
Bengaluru,Elegant Bengaluru Palace 343,18.638555,82.79321,3.4,"Conference room, Restaurant, Bar, Spa services, Free parking, Swimming pool, Airport shuttle, 24/7 Room service",3616.0,"Toy Train Ride, Food Tasting, Rock Garden Visit"
Bengaluru,Cozy Bengaluru Villa 45,19.688933,88.986337,3.7,"24/7 Room service, Spa services, TV with cable, Pet-friendly, Swimming pool, Restaurant, WiFi, Free breakfast, AC",3530.0,"Fishing, Taj Mahal Visit, Street Food Tasting"
Bengaluru,Grand Bengaluru Inn 413,15.394954,86.986119,4.0,"Bar, Restaurant, 24/7 Room service, Spa services, Coffee maker, Swimming pool, Free breakfast",11424.0,"Tech Park Tours, Lake Boating, Sightseeing"
Mumbai,Heritage Mumbai Palace 220,18.896349,72.840696,3.9,"Child-friendly, Swimming pool, Bar, Mini bar, Airport shuttle, AC, Spa services, WiFi, TV with cable, Restaurant",7323.0,"Shopping, Nightlife, Boat Tours"
Pune,Serene Pune Hotel 444,18.60089,73.920041,3.5,"Free parking, Restaurant, Airport shuttle, Business center, Spa services, Balcony view, Conference room, Bar, Gym, TV with cable",10248.0,"General Sightseeing, Boat Ride on Ganges, River Cruise"
Pune,Heritage Pune Resort 200,18.465604,73.81587,3.2,"Spa services, Pet-friendly, Business center, Gym, Child-friendly, Coffee maker, Mini bar, Free breakfast",18812.0,"Fishing, Shopping, Nightlife"
Bengaluru,Serene Bengaluru Villa 337,29.111142,85.029259,3.5,"Business center, Coffee maker, TV with cable, Spa services, Balcony view, Airport shuttle, 24/7 Room service, Gym, AC, Child-friendly",6158.0,"River Cruise, Paragliding, Swimming"
Mumbai,Luxury Mumbai Resort 446,19.092838,72.873416,3.1,"TV with cable, Child-friendly, Free parking, Conference room, Free breakfast, Pet-friendly, Gym",10059.0,"Boating, River Cruise, Palace Tours"
Mumbai,Luxury Mumbai Resort 281,19.05362,72.815697,3.2,"Free parking, Airport shuttle, Bar, AC, WiFi, Gym, Spa services, TV with cable",11875.0,"Meditation, Marina Beach Walk, Taj Mahal Visit"
Bengaluru,Heritage Bengaluru Resort 499,13.237295,73.349908,4.7,"Balcony view, Coffee maker, Pet-friendly, Laundry service, Conference room, TV with cable, Airport shuttle, AC",16034.0,"Beach Walk, Shopping, Marina Beach Walk"
Mumbai,Comfort Mumbai Villa 411,19.109655,72.977549,3.6,"Conference room, 24/7 Room service, Bar, Spa services, Free parking, Gym",2825.0,"Heritage Walk, Backwater Cruise, Temple Visits"
Mumbai,Elegant Mumbai Suites 115,19.149063,72.889926,4.0,"Gym, Coffee maker, AC, Mini bar, Pet-friendly, Laundry service, TV with cable",7788.0,"Heritage Walk, Skiing, Fishing"
Mumbai,Heritage Mumbai Hotel 235,19.183634,72.958837,3.5,"Gym, TV with cable, Conference room, Coffee maker, Restaurant, Swimming pool, 24/7 Room service, Balcony view, Free parking, Free breakfast",8461.0,"Historical Tours, Museum Tours, Local Cuisine"
Pune,Heritage Pune Lodge 211,18.545444,73.774361,4.6,"Coffee maker, Gym, Child-friendly, Conference room, Spa services",17128.0,"Paragliding, Beach Walk, Fort Visits"
Bengaluru,Royal Bengaluru Haven 317,24.414554,78.609746,3.9,"Laundry service, Mini bar, Child-friendly, Airport shuttle, Business center",2500.0,"Fort Visits, Kayaking, Rock Garden Visit"
Mumbai,Heritage Mumbai Lodge 448,19.133995,72.77497,3.1,"Gym, AC, TV with cable, Airport shuttle, Restaurant, Laundry service, Conference room",12113.0,"Backwater Cruise, Sightseeing, Surfing"
