occupancy,room_type,bedcount,month,price
0.39,Deluxe,3,January,5855.5
0.22,Deluxe,3,January,5439
0.17,Deluxe,3,January,5316.5
0.16,Deluxe,3,January,5292
0.07,Deluxe,3,January,5071.5
0.19,Deluxe,3,January,5365.5
0.88,Deluxe,3,January,7056
0.6,Deluxe,3,January,6370
0.16,Deluxe,3,January,5292
0.12,Deluxe,3,January,5194
0.14,Deluxe,3,January,5243
0.55,Deluxe,3,January,6247.5
0.76,Deluxe,3,January,6762
0.08,Deluxe,3,January,5096
0.59,Deluxe,3,January,6345.5
0.18,Deluxe,3,January,5341
0.63,Deluxe,3,January,6443.5
0.44,Deluxe,3,January,5978
0.58,Deluxe,3,January,6321
0.35,Deluxe,3,January,5757.5
0.02,Deluxe,3,January,4949
0.03,Deluxe,3,January,4973.5
0.42,Deluxe,1,February,3811.5
0.07,Deluxe,1,February,3260.25
0.78,Deluxe,1,February,4378.5
0.54,Deluxe,1,February,4000.5
0.62,Deluxe,1,February,4126.5
0.46,Deluxe,1,February,3874.5
0.3,Deluxe,1,February,3622.5
0.61,Deluxe,1,February,4110.75
0.71,Deluxe,1,February,4268.25
0.77,Deluxe,1,February,4362.75
0.92,Deluxe,1,February,4599
0.63,Deluxe,1,February,4142.25
0.22,Deluxe,1,February,3496.5
0.45,Deluxe,1,February,3858.75
0.51,Deluxe,1,February,3953.25
0.61,Deluxe,1,February,4110.75
0.95,Deluxe,1,February,4646.25
0.64,Deluxe,1,February,4158
0.76,Deluxe,1,February,4347
0.06,Deluxe,1,February,3244.5
0.25,Deluxe,1,February,3543.75
0.51,Deluxe,1,February,3953.25
0.5,Deluxe,1,February,3937.5
0.64,Deluxe,1,February,4158
0.51,Deluxe,1,February,3953.25
0.25,Deluxe,1,February,3543.75
0.06,Deluxe,1,February,3244.5
0.95,Deluxe,1,February,4646.25
0.03,Deluxe,1,February,3197.25
0.88,Deluxe,1,February,4536
0.03,Deluxe,1,February,3197.25
0.43,Deluxe,1,February,3827.25
0.63,Deluxe,1,February,4142.25
0.05,Deluxe,1,February,3228.75
0.89,Deluxe,1,February,4551.75
0.76,Deluxe,1,February,4347
0.91,Deluxe,1,February,4583.25
0.8,Deluxe,1,February,4410
0.11,Deluxe,1,February,3323.25
0.79,Deluxe,1,February,4394.25
0.5,Deluxe,1,February,3937.5
0.36,Deluxe,1,February,3717
0.95,Deluxe,1,February,4646.25
0.56,Deluxe,1,February,4032
1,Deluxe,1,February,4725
0.93,Deluxe,1,February,4614.75
0.69,Deluxe,1,February,4236.75
0.48,Deluxe,1,February,3906
0.67,Deluxe,1,February,4205.25
0.82,Deluxe,1,February,4441.5
0.4,Deluxe,2,February,4536
0.09,Deluxe,2,February,3950.1
0.92,Deluxe,2,February,5518.8
0.76,Deluxe,2,February,5216.4
0.71,Deluxe,2,February,5121.9
0.04,Deluxe,2,February,3855.6
0.56,Deluxe,2,February,4838.4
0.92,Deluxe,2,February,5518.8
0.86,Deluxe,2,February,5405.4
0.62,Deluxe,2,February,4951.8
0.19,Deluxe,2,February,4139.1
0.74,Deluxe,2,February,5178.6
0.54,Deluxe,2,February,4800.6
0.22,Deluxe,2,February,4195.8
0.31,Deluxe,2,February,4365.9
0.3,Deluxe,2,February,4347
0.52,Deluxe,2,February,4762.8
0.39,Deluxe,2,February,4517.1
0.5,Deluxe,2,February,4725
0.69,Deluxe,2,February,5084.1
0.94,Deluxe,2,February,5556.6
0.9,Deluxe,2,February,5481
0.19,Deluxe,2,February,4139.1
0.9,Deluxe,2,February,5481
0.45,Deluxe,2,February,4630.5
0.13,Deluxe,2,February,4025.7
0.02,Deluxe,2,February,3817.8
0.46,Deluxe,2,February,4649.4
0.03,Deluxe,2,February,3836.7
0.85,Deluxe,2,February,5386.5
0.9,Deluxe,2,February,5481
0.97,Deluxe,2,February,5613.3
0.11,Deluxe,2,February,3987.9
0.64,Deluxe,2,February,4989.6
0.8,Deluxe,2,February,5292
0.41,Deluxe,2,February,4554.9
0.81,Deluxe,2,February,5310.9
0.35,Deluxe,2,February,4441.5
0.67,Deluxe,2,February,5046.3
0.3,Deluxe,2,February,4347
0.99,Deluxe,2,February,5651.1
0.6,Deluxe,2,February,4914
0.16,Deluxe,2,February,4082.4
0.51,Deluxe,2,February,4743.9
0.68,Deluxe,2,February,5065.2
0.35,Deluxe,2,February,4441.5
0.64,Deluxe,2,February,4989.6
0.04,Deluxe,2,February,3855.6
0.6,Deluxe,2,February,4914
0.37,Deluxe,2,February,4479.3
0.46,Deluxe,3,February,5424.3
0.38,Deluxe,3,February,5247.9
0.22,Deluxe,3,February,4895.1
0.52,Deluxe,3,February,5556.6
0.17,Deluxe,3,February,4784.85
0.26,Deluxe,3,February,4983.3
0.19,Deluxe,3,February,4828.95
0.6,Deluxe,3,February,5733
0.91,Deluxe,3,February,6416.55
0.45,Deluxe,3,February,5402.25
0.98,Deluxe,3,February,6570.9
0.63,Deluxe,3,February,5799.15
0.66,Deluxe,3,February,5865.3
0.48,Deluxe,3,February,5468.4
0.19,Deluxe,3,February,4828.95
0.4,Deluxe,3,February,5292
0.94,Deluxe,3,February,6482.7
0.26,Deluxe,3,February,4983.3
0.95,Deluxe,3,February,6504.75
0.77,Deluxe,3,February,6107.85
0.17,Deluxe,3,February,4784.85
0.94,Deluxe,3,February,6482.7
0.87,Deluxe,3,February,6328.35
0.74,Deluxe,3,February,6041.7
0.71,Deluxe,3,February,5975.55
0.18,Deluxe,3,February,4806.9
0.4,Deluxe,3,February,5292
0.91,Deluxe,3,February,6416.55
0.65,Deluxe,3,February,5843.25
0.27,Deluxe,3,February,5005.35
0.12,Deluxe,3,February,4674.6
0.51,Deluxe,3,February,5534.55
0.48,Deluxe,3,February,5468.4
0.01,Deluxe,3,February,4432.05
0.7,Deluxe,3,February,5953.5
0.98,Deluxe,3,February,6570.9
0.51,Deluxe,3,February,5534.55
0.91,Deluxe,3,February,6416.55
0.05,Deluxe,3,February,4520.25
0.45,Deluxe,3,February,5402.25
0.83,Deluxe,3,February,6240.15
0.12,Deluxe,3,February,4674.6
0.76,Deluxe,3,February,6085.8
0.26,Deluxe,3,February,4983.3
0.64,Deluxe,3,February,5821.2
0.34,Deluxe,3,February,5159.7
0.67,Deluxe,3,February,5887.35
0.58,Deluxe,3,February,5688.9
0.56,Deluxe,3,February,5644.8
0.63,Deluxe,3,February,5799.15
0.03,Deluxe,1,March,3552.5
0.52,Deluxe,1,March,4410
0.58,Deluxe,1,March,4515
0.22,Deluxe,1,March,3885
0.85,Deluxe,1,March,4987.5
0.84,Deluxe,1,March,4970
0.24,Deluxe,1,March,3920
0.42,Deluxe,1,March,4235
0.66,Deluxe,1,March,4655
0.66,Deluxe,1,March,4655
0.51,Deluxe,1,March,4392.5
0.81,Deluxe,1,March,4917.5
0.11,Deluxe,1,March,3692.5
0.37,Deluxe,1,March,4147.5
0.49,Deluxe,1,March,4357.5
0.3,Deluxe,1,March,4025
0.82,Deluxe,1,March,4935
0.66,Deluxe,1,March,4655
0.92,Deluxe,1,March,5110
0.75,Deluxe,1,March,4812.5
0.39,Deluxe,1,March,4182.5
0.57,Deluxe,1,March,4497.5
0.3,Deluxe,1,March,4025
0.98,Deluxe,1,March,5215
0.48,Deluxe,1,March,4340
0.9,Deluxe,1,March,5075
0.87,Deluxe,1,March,5022.5
0.48,Deluxe,1,March,4340
0.79,Deluxe,1,March,4882.5
0.31,Deluxe,1,March,4042.5
0.24,Deluxe,1,March,3920
0.14,Deluxe,1,March,3745
0.66,Deluxe,1,March,4655
0.01,Deluxe,1,March,3517.5
0.42,Deluxe,1,March,4235
0.56,Deluxe,1,March,4480
0.72,Deluxe,1,March,4760
0.11,Deluxe,1,March,3692.5
0.69,Deluxe,1,March,4707.5
0.22,Deluxe,1,March,3885
0.62,Deluxe,1,March,4585
0.49,Deluxe,1,March,4357.5
0.8,Deluxe,1,March,4900
0.45,Deluxe,1,March,4287.5
0.38,Deluxe,1,March,4165
0.26,Deluxe,1,March,3955
0.43,Deluxe,1,March,4252.5
0.34,Deluxe,1,March,4095
0.89,Deluxe,1,March,5057.5
0.77,Deluxe,1,March,4847.5
0.57,Deluxe,2,March,5397
0.75,Deluxe,2,March,5775
0.07,Deluxe,2,March,4347
0.6,Deluxe,2,March,5460
0.97,Deluxe,2,March,6237
0.6,Deluxe,2,March,5460
0.16,Deluxe,2,March,4536
0.09,Deluxe,2,March,4389
0.4,Deluxe,2,March,5040
0.04,Deluxe,2,March,4284
0.03,Deluxe,2,March,4263
0.89,Deluxe,2,March,6069
0.66,Deluxe,2,March,5586
0.95,Deluxe,2,March,6195
0.34,Deluxe,2,March,4914
0.11,Deluxe,2,March,4431
0.75,Deluxe,2,March,5775
0.12,Deluxe,2,March,4452
0.23,Deluxe,2,March,4683
0.33,Deluxe,2,March,4893
0.07,Deluxe,2,March,4347
0.83,Deluxe,2,March,5943
0.43,Deluxe,2,March,5103
0.65,Deluxe,2,March,5565
0.9,Deluxe,2,March,6090
0.73,Deluxe,2,March,5733
0.34,Deluxe,2,March,4914
0.05,Deluxe,2,March,4305
0.6,Deluxe,2,March,5460
0.81,Deluxe,2,March,5901
0.37,Deluxe,2,March,4977
0.6,Deluxe,2,March,5460
0.28,Deluxe,2,March,4788
0.28,Deluxe,2,March,4788
0.49,Deluxe,2,March,5229
0.81,Deluxe,2,March,5901
0.33,Deluxe,2,March,4893
0.29,Deluxe,2,March,4809
0.89,Deluxe,2,March,6069
0.5,Deluxe,2,March,5250
0.14,Deluxe,2,March,4494
0.96,Deluxe,2,March,6216
0.42,Deluxe,2,March,5082
0.98,Deluxe,2,March,6258
0.56,Deluxe,2,March,5376
0.11,Deluxe,2,March,4431
0.89,Deluxe,2,March,6069
0.75,Deluxe,2,March,5775
0.19,Deluxe,2,March,4599
0.66,Deluxe,2,March,5586
0.02,Deluxe,3,March,4949
0.29,Deluxe,3,March,5610.5
0.08,Deluxe,3,March,5096
0.76,Deluxe,3,March,6762
0.76,Deluxe,3,March,6762
0.24,Deluxe,3,March,5488
0.91,Deluxe,3,March,7129.5
0.75,Deluxe,3,March,6737.5
0.02,Deluxe,3,March,4949
0.05,Deluxe,3,March,5022.5
0.04,Deluxe,3,March,4998
0.34,Deluxe,3,March,5733
0.72,Deluxe,3,March,6664
0.79,Deluxe,3,March,6835.5
0.14,Deluxe,3,March,5243
0.55,Deluxe,3,March,6247.5
0.23,Deluxe,3,March,5463.5
0.68,Deluxe,3,March,6566
0.17,Deluxe,3,March,5316.5
0.64,Deluxe,3,March,6468
0.84,Deluxe,3,March,6958
0.83,Deluxe,3,March,6933.5
0.19,Deluxe,3,March,5365.5
0.17,Deluxe,3,March,5316.5
0.6,Deluxe,3,March,6370
0.77,Deluxe,3,March,6786.5
0.2,Deluxe,3,March,5390
0.61,Deluxe,3,March,6394.5
0.47,Deluxe,3,March,6051.5
0.29,Deluxe,3,March,5610.5
0.38,Deluxe,3,March,5831
0.36,Deluxe,3,March,5782
0.64,Deluxe,3,March,6468
0.08,Deluxe,3,March,5096
0.92,Deluxe,3,March,7154
0.1,Deluxe,3,March,5145
0.25,Deluxe,3,March,5512.5
0.52,Deluxe,3,March,6174
0.76,Deluxe,3,March,6762
0.76,Deluxe,3,March,6762
0.99,Deluxe,3,March,7325.5
0.55,Deluxe,3,March,6247.5
0.33,Deluxe,3,March,5708.5
0.84,Deluxe,3,March,6958
0.04,Deluxe,3,March,4998
0.83,Deluxe,3,March,6933.5
0.58,Deluxe,3,March,6321
0.58,Deluxe,3,March,6321
0.75,Deluxe,3,March,6737.5
0.66,Deluxe,3,March,6517
0.68,Deluxe,1,April,5159
0.84,Deluxe,1,April,5467
0.42,Deluxe,1,April,4658.5
0.71,Deluxe,1,April,5216.75
0.93,Deluxe,1,April,5640.25
0.59,Deluxe,1,April,4985.75
0.44,Deluxe,1,April,4697
0.19,Deluxe,1,April,4215.75
0.94,Deluxe,1,April,5659.5
0.38,Deluxe,1,April,4581.5
0.87,Deluxe,1,April,5524.75
0.64,Deluxe,1,April,5082
0.34,Deluxe,1,April,4504.5
0.53,Deluxe,1,April,4870.25
0.72,Deluxe,1,April,5236
0.73,Deluxe,1,April,5255.25
0.07,Deluxe,1,April,3984.75
0.19,Deluxe,1,April,4215.75
0.88,Deluxe,1,April,5544
0.32,Deluxe,1,April,4466
0.78,Deluxe,1,April,5351.5
0.73,Deluxe,1,April,5255.25
0.12,Deluxe,1,April,4081
0.43,Deluxe,1,April,4677.75
0.23,Deluxe,1,April,4292.75
0.71,Deluxe,1,April,5216.75
0.85,Deluxe,1,April,5486.25
0.99,Deluxe,1,April,5755.75
0.47,Deluxe,1,April,4754.75
0.72,Deluxe,1,April,5236
0.9,Deluxe,1,April,5582.5
0.85,Deluxe,1,April,5486.25
0.85,Deluxe,1,April,5486.25
0.11,Deluxe,1,April,4061.75
0.47,Deluxe,1,April,4754.75
0.41,Deluxe,1,April,4639.25
0.32,Deluxe,1,April,4466
0.18,Deluxe,1,April,4196.5
0.22,Deluxe,1,April,4273.5
0.51,Deluxe,1,April,4831.75
0.18,Deluxe,1,April,4196.5
0.63,Deluxe,1,April,5062.75
0.34,Deluxe,1,April,4504.5
0.05,Deluxe,1,April,3946.25
0.35,Deluxe,1,April,4523.75
0.79,Deluxe,1,April,5370.75
0.67,Deluxe,1,April,5139.75
0.74,Deluxe,1,April,5274.5
0.99,Deluxe,1,April,5755.75
0.24,Deluxe,1,April,4312
0.17,Deluxe,2,April,5012.7
0.77,Deluxe,2,April,6398.7
0.46,Deluxe,2,April,5682.6
0.82,Deluxe,2,April,6514.2
0.36,Deluxe,2,April,5451.6
0.77,Deluxe,2,April,6398.7
0.51,Deluxe,2,April,5798.1
0.8,Deluxe,2,April,6468
0.93,Deluxe,2,April,6768.3
0.89,Deluxe,2,April,6675.9
0.3,Deluxe,2,April,5313
0.44,Deluxe,2,April,5636.4
0.44,Deluxe,2,April,5636.4
0.99,Deluxe,2,April,6906.9
0.91,Deluxe,2,April,6722.1
0.45,Deluxe,2,April,5659.5
0.67,Deluxe,2,April,6167.7
0.6,Deluxe,2,April,6006
0.87,Deluxe,2,April,6629.7
0.97,Deluxe,2,April,6860.7
0.06,Deluxe,2,April,4758.6
0.23,Deluxe,2,April,5151.3
0.48,Deluxe,2,April,5728.8
0.74,Deluxe,2,April,6329.4
0.33,Deluxe,2,April,5382.3
0.15,Deluxe,2,April,4966.5
0.51,Deluxe,2,April,5798.1
0.31,Deluxe,2,April,5336.1
0.69,Deluxe,2,April,6213.9
0.1,Deluxe,2,April,4851
0.76,Deluxe,2,April,6375.6
0.02,Deluxe,2,April,4666.2
0.95,Deluxe,2,April,6814.5
0.19,Deluxe,2,April,5058.9
0.64,Deluxe,2,April,6098.4
0.52,Deluxe,2,April,5821.2
0.43,Deluxe,2,April,5613.3
0.27,Deluxe,2,April,5243.7
0.89,Deluxe,2,April,6675.9
0.67,Deluxe,2,April,6167.7
0.44,Deluxe,2,April,5636.4
0.81,Deluxe,2,April,6491.1
0.95,Deluxe,2,April,6814.5
0.27,Deluxe,2,April,5243.7
0.6,Deluxe,2,April,6006
0.61,Deluxe,2,April,6029.1
0.15,Deluxe,2,April,4966.5
0.89,Deluxe,2,April,6675.9
0.27,Deluxe,2,April,5243.7
0.88,Deluxe,2,April,6652.8
0.72,Deluxe,3,April,7330.4
0.37,Deluxe,3,April,6387.15
0.6,Deluxe,3,April,7007
0.53,Deluxe,3,April,6818.35
0.37,Deluxe,3,April,6387.15
0.03,Deluxe,3,April,5470.85
0.26,Deluxe,3,April,6090.7
0.04,Deluxe,3,April,5497.8
0.14,Deluxe,3,April,5767.3
0.88,Deluxe,3,April,7761.6
0.75,Deluxe,3,April,7411.25
0.05,Deluxe,3,April,5524.75
0,Deluxe,3,April,5390
0.74,Deluxe,3,April,7384.3
0.17,Deluxe,3,April,5848.15
0.73,Deluxe,3,April,7357.35
0.34,Deluxe,3,April,6306.3
0.86,Deluxe,3,April,7707.7
0.73,Deluxe,3,April,7357.35
0.15,Deluxe,3,April,5794.25
0.76,Deluxe,3,April,7438.2
0.12,Deluxe,3,April,5713.4
0.61,Deluxe,3,April,7033.95
0.64,Deluxe,3,April,7114.8
0.06,Deluxe,3,April,5551.7
0.45,Deluxe,3,April,6602.75
0.25,Deluxe,3,April,6063.75
0.33,Deluxe,3,April,6279.35
0.93,Deluxe,3,April,7896.35
0.68,Deluxe,3,April,7222.6
0.39,Deluxe,3,April,6441.05
0.64,Deluxe,3,April,7114.8
0.2,Deluxe,3,April,5929
0.89,Deluxe,3,April,7788.55
0.69,Deluxe,3,April,7249.55
0.59,Deluxe,3,April,6980.05
0.77,Deluxe,3,April,7465.15
0.78,Deluxe,3,April,7492.1
0.07,Deluxe,3,April,5578.65
0.07,Deluxe,3,April,5578.65
0.87,Deluxe,3,April,7734.65
0.5,Deluxe,3,April,6737.5
0,Deluxe,3,April,5390
0.63,Deluxe,3,April,7087.85
0.49,Deluxe,3,April,6710.55
0.26,Deluxe,3,April,6090.7
0.56,Deluxe,3,April,6899.2
0.24,Deluxe,3,April,6036.8
0.39,Deluxe,3,April,6441.05
0.51,Deluxe,3,April,6764.45
0.15,Deluxe,1,May,4515
0.03,Deluxe,1,May,4263
0.33,Deluxe,1,May,4893
0.22,Deluxe,1,May,4662
0.82,Deluxe,1,May,5922
0.49,Deluxe,1,May,5229
0.13,Deluxe,1,May,4473
0.45,Deluxe,1,May,5145
0.74,Deluxe,1,May,5754
0.46,Deluxe,1,May,5166
0.23,Deluxe,1,May,4683
0.71,Deluxe,1,May,5691
0.16,Deluxe,1,May,4536
0.16,Deluxe,1,May,4536
0.41,Deluxe,1,May,5061
0.85,Deluxe,1,May,5985
0.43,Deluxe,1,May,5103
0.18,Deluxe,1,May,4578
0.27,Deluxe,1,May,4767
0.3,Deluxe,1,May,4830
0.17,Deluxe,1,May,4557
0.83,Deluxe,1,May,5943
0.24,Deluxe,1,May,4704
0.98,Deluxe,1,May,6258
0.58,Deluxe,1,May,5418
0.62,Deluxe,1,May,5502
0.53,Deluxe,1,May,5313
0.02,Deluxe,1,May,4242
0.72,Deluxe,1,May,5712
0.9,Deluxe,1,May,6090
0.01,Deluxe,1,May,4221
0.17,Deluxe,1,May,4557
0.16,Deluxe,1,May,4536
0.56,Deluxe,1,May,5376
0.26,Deluxe,1,May,4746
0.37,Deluxe,1,May,4977
0.3,Deluxe,1,May,4830
0.74,Deluxe,1,May,5754
0.31,Deluxe,1,May,4851
0.77,Deluxe,1,May,5817
0.26,Deluxe,1,May,4746
0.88,Deluxe,1,May,6048
0.77,Deluxe,1,May,5817
0.86,Deluxe,1,May,6006
0.27,Deluxe,1,May,4767
0.79,Deluxe,1,May,5859
0.83,Deluxe,1,May,5943
0.14,Deluxe,1,May,4494
0.05,Deluxe,1,May,4305
0.43,Deluxe,1,May,5103
0.95,Deluxe,2,May,7434
0.99,Deluxe,2,May,7534.8
0.31,Deluxe,2,May,5821.2
0.17,Deluxe,2,May,5468.4
0.38,Deluxe,2,May,5997.6
0.32,Deluxe,2,May,5846.4
0.97,Deluxe,2,May,7484.4
0.98,Deluxe,2,May,7509.6
0.78,Deluxe,2,May,7005.6
0.15,Deluxe,2,May,5418
0.32,Deluxe,2,May,5846.4
0.49,Deluxe,2,May,6274.8
0.84,Deluxe,2,May,7156.8
0.68,Deluxe,2,May,6753.6
0.67,Deluxe,2,May,6728.4
0.55,Deluxe,2,May,6426
0.5,Deluxe,2,May,6300
0.8,Deluxe,2,May,7056
0.97,Deluxe,2,May,7484.4
0.83,Deluxe,2,May,7131.6
0.12,Deluxe,2,May,5342.4
0.85,Deluxe,2,May,7182
0.47,Deluxe,2,May,6224.4
0.38,Deluxe,2,May,5997.6
0.37,Deluxe,2,May,5972.4
0.56,Deluxe,2,May,6451.2
0.97,Deluxe,2,May,7484.4
0.07,Deluxe,2,May,5216.4
0.75,Deluxe,2,May,6930
0.82,Deluxe,2,May,7106.4
0.56,Deluxe,2,May,6451.2
0.99,Deluxe,2,May,7534.8
0.67,Deluxe,2,May,6728.4
0.22,Deluxe,2,May,5594.4
0.65,Deluxe,2,May,6678
0.64,Deluxe,2,May,6652.8
0.64,Deluxe,2,May,6652.8
0.87,Deluxe,2,May,7232.4
0,Deluxe,2,May,5040
0.41,Deluxe,2,May,6073.2
0.22,Deluxe,2,May,5594.4
0.17,Deluxe,2,May,5468.4
0.58,Deluxe,2,May,6501.6
0.49,Deluxe,2,May,6274.8
0.82,Deluxe,2,May,7106.4
0.37,Deluxe,2,May,5972.4
0.2,Deluxe,2,May,5544
0.64,Deluxe,2,May,6652.8
0.8,Deluxe,2,May,7056
0.48,Deluxe,2,May,6249.6
0.49,Deluxe,3,May,7320.6
0.34,Deluxe,3,May,6879.6
0.8,Deluxe,3,May,8232
0.38,Deluxe,3,May,6997.2
0.62,Deluxe,3,May,7702.8
0.27,Deluxe,3,May,6673.8
0.33,Deluxe,3,May,6850.2
0.05,Deluxe,3,May,6027
0.3,Deluxe,3,May,6762
0.65,Deluxe,3,May,7791
0.07,Deluxe,3,May,6085.8
0.38,Deluxe,3,May,6997.2
0.67,Deluxe,3,May,7849.8
0.63,Deluxe,3,May,7732.2
0.63,Deluxe,3,May,7732.2
0,Deluxe,3,May,5880
0.38,Deluxe,3,May,6997.2
0.16,Deluxe,3,May,6350.4
0.37,Deluxe,3,May,6967.8
0.67,Deluxe,3,May,7849.8
0.73,Deluxe,3,May,8026.2
0.28,Deluxe,3,May,6703.2
0.54,Deluxe,3,May,7467.6
0.85,Deluxe,3,May,8379
0.16,Deluxe,3,May,6350.4
0.4,Deluxe,3,May,7056
0.44,Deluxe,3,May,7173.6
0.37,Deluxe,3,May,6967.8
0.43,Deluxe,3,May,7144.2
0.03,Deluxe,3,May,5968.2
0.81,Deluxe,3,May,8261.4
0.11,Deluxe,3,May,6203.4
0.03,Deluxe,3,May,5968.2
0.26,Deluxe,3,May,6644.4
0.13,Deluxe,3,May,6262.2
0.65,Deluxe,3,May,7791
0.27,Deluxe,3,May,6673.8
0.73,Deluxe,3,May,8026.2
0.03,Deluxe,3,May,5968.2
0.8,Deluxe,3,May,8232
0.75,Deluxe,3,May,8085
0.05,Deluxe,3,May,6027
0.86,Deluxe,3,May,8408.4
0.76,Deluxe,3,May,8114.4
0.03,Deluxe,3,May,5968.2
0.41,Deluxe,3,May,7085.4
0.92,Deluxe,3,May,8584.8
0.85,Deluxe,3,May,8379
0.9,Deluxe,3,May,8526
0.55,Deluxe,3,May,7497
0.31,Deluxe,1,June,6063.75
0.51,Deluxe,1,June,6588.75
0.06,Deluxe,1,June,5407.5
0.25,Deluxe,1,June,5906.25
0.13,Deluxe,1,June,5591.25
0.94,Deluxe,1,June,7717.5
0.97,Deluxe,1,June,7796.25
0.15,Deluxe,1,June,5643.75
0.45,Deluxe,1,June,6431.25
0.52,Deluxe,1,June,6615
0.06,Deluxe,1,June,5407.5
0.07,Deluxe,1,June,5433.75
0.4,Deluxe,1,June,6300
0.04,Deluxe,1,June,5355
0.11,Deluxe,1,June,5538.75
0.65,Deluxe,1,June,6956.25
0.42,Deluxe,1,June,6352.5
0.13,Deluxe,1,June,5591.25
0.53,Deluxe,1,June,6641.25
0.47,Deluxe,1,June,6483.75
