Hotel Name,Place,Description,Ratings,Price (INR)
Paradise Stay,Pune,"Mini bar, 24/7 Room service, AC, Airport shuttle, Child-friendly, Balcony view, Coffee maker, Pet-friendly",4.92,17134
Royal Residency,Bengaluru,"Mini bar, Free breakfast, 24/7 Room service, Pet-friendly, Gym",3.16,9754
Royal Residency,Pune,"TV with cable, Pet-friendly, 24/7 Room service, Spa services, Free parking, Coffee maker, Laundry service, Balcony view, Conference room, Airport shuttle",1.48,3611
Emerald Elegance,Mumbai,"WiFi, Free breakfast, Laundry service, Bar, Airport shuttle, Spa services, Business center, Free parking, Swimming pool",3.24,14503
Harmony Hotel,Mumbai,"Airport shuttle, Balcony view, Pet-friendly, Restaurant, Free parking",3.96,4262
Green Leaf,Pune,"Business center, Swimming pool, 24/7 Room service, Balcony view, Free parking, Coffee maker, Gym, TV with cable",4.48,16649
Emerald Elegance,Pune,"Spa services, Laundry service, Mini bar, Conference room, Restaurant, Free breakfast",4.56,11810
Tranquil Lodge,Pune,"Business center, TV with cable, Coffee maker, Conference room, Balcony view, Airport shuttle, 24/7 Room service, Bar",3.0,1839
Harmony Hotel,Mumbai,"TV with cable, WiFi, Free parking, Gym, Airport shuttle, Mini bar, Conference room",1.64,11596
Regal Heights,Mumbai,"WiFi, Pet-friendly, Coffee maker, Restaurant, 24/7 Room service, Gym, Spa services, Free parking, Airport shuttle, Free breakfast",2.28,16464
The Sapphire,Pune,"Mini bar, WiFi, Spa services, Free parking, Conference room, 24/7 Room service",4.28,14133
The Serene Spot,Pune,"WiFi, Business center, 24/7 Room service, Gym, Restaurant, Laundry service",2.32,6431
Green Leaf,Mumbai,"AC, TV with cable, 24/7 Room service, Free breakfast, Conference room",3.68,16721
Comfort Stay,Pune,"Bar, Pet-friendly, 24/7 Room service, Spa services, Gym",4.04,4657
Skyline Hotel,Bengaluru,"WiFi, 24/7 Room service, Balcony view, Gym, Laundry service",4.52,8913
Grand Palace,Bengaluru,"Gym, Bar, Conference room, WiFi, Swimming pool, Business center, Restaurant, 24/7 Room service",2.88,11098
Green Leaf,Bengaluru,"Swimming pool, Bar, Laundry service, Free breakfast, Spa services, Coffee maker, Pet-friendly",4.16,11814
Palm Springs,Pune,"Bar, Child-friendly, AC, 24/7 Room service, Airport shuttle, Business center, Balcony view",1.0,8699
Harmony Hotel,Bengaluru,"Balcony view, Free breakfast, Coffee maker, Airport shuttle, Bar, Conference room",4.08,6248
Regal Heights,Bengaluru,"Pet-friendly, Laundry service, Swimming pool, Child-friendly, Business center, Airport shuttle, Spa services, WiFi, Mini bar, Bar",2.16,16804
Comfort Stay,Mumbai,"Child-friendly, Business center, AC, Spa services, Pet-friendly, Bar, Conference room, Airport shuttle, Swimming pool",1.24,14900
Comfort Stay,Pune,"Laundry service, Spa services, TV with cable, Balcony view, Conference room",4.88,9247
Green Leaf,Pune,"Mini bar, Free breakfast, Coffee maker, Business center, Balcony view, Swimming pool, AC, Child-friendly, TV with cable",2.0,17997
Green Leaf,Pune,"Spa services, Free parking, Coffee maker, Pet-friendly, Laundry service, Restaurant, Gym, Child-friendly, Airport shuttle",4.32,15647
Emerald Elegance,Bengaluru,"Spa services, Restaurant, AC, Coffee maker, Swimming pool, TV with cable, Mini bar",1.6,17551
Golden Nest,Bengaluru,"Airport shuttle, Gym, Spa services, Conference room, 24/7 Room service",2.4,3759
The Serene Spot,Bengaluru,"WiFi, Gym, Pet-friendly, Free breakfast, Coffee maker, 24/7 Room service, Swimming pool",4.68,17232
The Serene Spot,Mumbai,"Restaurant, Conference room, AC, Balcony view, 24/7 Room service",4.72,6854
Paradise Stay,Pune,"Free breakfast, AC, TV with cable, Airport shuttle, 24/7 Room service, Laundry service, Bar, Balcony view",3.72,9764
Ocean View,Mumbai,"Gym, Mini bar, WiFi, Balcony view, Free breakfast",3.76,14032
Regal Heights,Mumbai,"Spa services, Child-friendly, Swimming pool, Laundry service, Mini bar, Restaurant, Gym, AC, TV with cable, Coffee maker",1.2,9459
Green Leaf,Bengaluru,"Child-friendly, 24/7 Room service, Bar, AC, Mini bar, Free parking, Restaurant, TV with cable, Business center, Pet-friendly",4.68,14148
Majestic View,Bengaluru,"Conference room, Restaurant, Coffee maker, Bar, Pet-friendly, Mini bar",4.4,8839
Royal Residency,Mumbai,"Business center, Free breakfast, WiFi, Balcony view, Bar, Child-friendly, Restaurant, Airport shuttle",2.32,18263
The Sapphire,Pune,"Child-friendly, Pet-friendly, AC, Laundry service, Airport shuttle, TV with cable, Bar, WiFi, Balcony view, Conference room",1.08,11542
Luxury Inn,Bengaluru,"Spa services, TV with cable, Free breakfast, Restaurant, Pet-friendly, Coffee maker, Airport shuttle, Bar, Swimming pool",2.64,13997
Golden Nest,Mumbai,"Coffee maker, Airport shuttle, Restaurant, Spa services, WiFi, AC, Free breakfast, Free parking, Conference room, Balcony view",3.92,1616
Tranquil Lodge,Bengaluru,"Free parking, Mini bar, 24/7 Room service, Bar, Child-friendly",1.48,16718
Royal Residency,Bengaluru,"Free parking, Gym, Coffee maker, Airport shuttle, Restaurant, Spa services",4.28,7544
Skyline Hotel,Pune,"Spa services, Mini bar, Bar, Restaurant, Free breakfast, Balcony view",4.6,4599
Urban Retreat,Mumbai,"Swimming pool, Free parking, Coffee maker, Mini bar, AC, Balcony view, Free breakfast, Pet-friendly, Restaurant",4.32,4785
Luxury Inn,Bengaluru,"WiFi, Child-friendly, TV with cable, Free parking, Conference room, Gym",4.04,14008
Palm Springs,Pune,"Swimming pool, Airport shuttle, WiFi, Laundry service, Coffee maker, Gym",1.92,2646
Harmony Hotel,Mumbai,"Spa services, Coffee maker, Balcony view, Restaurant, Business center, Airport shuttle",2.48,5033
Paradise Stay,Pune,"Child-friendly, Swimming pool, Free parking, TV with cable, WiFi, Bar, Spa services, Airport shuttle",3.12,16853
Harmony Hotel,Mumbai,"Bar, Business center, Mini bar, Restaurant, Swimming pool, Free parking",3.24,14949
Ocean View,Mumbai,"Bar, Business center, AC, Pet-friendly, Swimming pool, Child-friendly, Restaurant, Coffee maker, Conference room",2.08,15085
Royal Residency,Mumbai,"Restaurant, Business center, Pet-friendly, 24/7 Room service, Coffee maker, Free breakfast, Spa services, Bar, TV with cable",4.44,10721
Royal Residency,Bengaluru,"Laundry service, Child-friendly, Business center, Swimming pool, Coffee maker, AC, Gym",2.72,4334
Royal Residency,Bengaluru,"AC, Restaurant, Balcony view, Business center, Child-friendly, Gym",3.16,3461
Comfort Stay,Mumbai,"Restaurant, Coffee maker, Child-friendly, TV with cable, Swimming pool",4.6,16463
Royal Residency,Mumbai,"Restaurant, Pet-friendly, Airport shuttle, Free breakfast, Spa services, Swimming pool, WiFi, Child-friendly",4.64,12608
Elite Stay,Bengaluru,"Spa services, Restaurant, Pet-friendly, Mini bar, Free parking, Child-friendly",2.44,2051
Tranquil Lodge,Mumbai,"Restaurant, Airport shuttle, Balcony view, TV with cable, Bar, Swimming pool, Conference room, Spa services, Business center, WiFi",3.96,9688
Ocean View,Mumbai,"Spa services, 24/7 Room service, Child-friendly, Laundry service, Free breakfast, Free parking, Airport shuttle, Restaurant, Bar, AC",4.4,16656
Hotel Sunshine,Pune,"24/7 Room service, Spa services, Conference room, Bar, Free breakfast, Restaurant, Balcony view",1.88,11862
Majestic View,Mumbai,"Conference room, Airport shuttle, AC, Free parking, Business center, Spa services, Coffee maker, TV with cable, Restaurant, Laundry service",1.32,14804
Royal Residency,Mumbai,"Gym, Conference room, Free breakfast, Swimming pool, Restaurant, Balcony view",2.08,17488
Harmony Hotel,Bengaluru,"Conference room, TV with cable, Child-friendly, Restaurant, Gym, WiFi",4.04,19645
Luxury Inn,Pune,"Bar, Laundry service, WiFi, Mini bar, Swimming pool, Balcony view",4.44,7524
Palm Springs,Bengaluru,"Pet-friendly, TV with cable, Free parking, Spa services, 24/7 Room service, WiFi",3.04,3191
Majestic View,Bengaluru,"Gym, Coffee maker, Business center, Free parking, Swimming pool",1.4,17027
Luxury Inn,Mumbai,"24/7 Room service, Free breakfast, TV with cable, Bar, Pet-friendly, Business center",2.24,19872
Emerald Elegance,Pune,"AC, Coffee maker, 24/7 Room service, Laundry service, Child-friendly, Restaurant, WiFi, Pet-friendly, Bar, Free breakfast",2.92,5267
Emerald Elegance,Mumbai,"Child-friendly, Gym, AC, Bar, Spa services, Conference room, Pet-friendly",1.84,2526
Green Leaf,Pune,"Business center, TV with cable, Gym, Laundry service, Mini bar",4.6,3056
The Serene Spot,Pune,"Airport shuttle, Gym, Swimming pool, WiFi, Child-friendly, 24/7 Room service, TV with cable, Spa services, Balcony view",4.56,17363
Golden Nest,Bengaluru,"AC, TV with cable, Restaurant, Child-friendly, Coffee maker, Free parking, Airport shuttle",3.48,7852
Green Leaf,Mumbai,"Balcony view, Free breakfast, Coffee maker, Restaurant, Pet-friendly",4.2,16282
Green Leaf,Pune,"Coffee maker, Balcony view, Gym, Mini bar, Airport shuttle",2.2,13068
Tranquil Lodge,Pune,"Child-friendly, 24/7 Room service, Bar, WiFi, Business center, Swimming pool, Airport shuttle, Spa services",4.28,13582
Emerald Elegance,Pune,"Child-friendly, Free parking, Pet-friendly, AC, Airport shuttle",1.04,15981
The Sapphire,Pune,"WiFi, Laundry service, Balcony view, Free breakfast, Coffee maker, Bar, Mini bar, Swimming pool, Free parking",2.72,19066
Hotel Sunshine,Bengaluru,"Laundry service, Swimming pool, 24/7 Room service, Mini bar, Bar, Conference room, Free parking, Business center, Free breakfast, AC",3.56,5489
Regal Heights,Pune,"Spa services, Conference room, Restaurant, AC, Gym, Swimming pool",3.24,15013
Royal Residency,Mumbai,"Swimming pool, Child-friendly, Gym, Spa services, Pet-friendly, Restaurant",3.24,8866
Palm Springs,Pune,"Bar, Conference room, TV with cable, Business center, AC, Airport shuttle, Swimming pool, 24/7 Room service, Free parking, Child-friendly",2.28,12841
The Serene Spot,Mumbai,"Coffee maker, Conference room, Bar, TV with cable, Restaurant, Business center, WiFi, AC",3.44,9350
The Serene Spot,Pune,"Coffee maker, Laundry service, Bar, Swimming pool, TV with cable",2.68,10147
Harmony Hotel,Mumbai,"24/7 Room service, Child-friendly, Swimming pool, AC, TV with cable, Gym",3.24,7992
Regal Heights,Bengaluru,"Conference room, Restaurant, Bar, Spa services, Free parking, Swimming pool, Airport shuttle, 24/7 Room service",4.12,14297
Luxury Inn,Bengaluru,"24/7 Room service, Spa services, TV with cable, Pet-friendly, Swimming pool, Restaurant, WiFi, Free breakfast, AC",1.92,16988
Golden Nest,Bengaluru,"Bar, Restaurant, 24/7 Room service, Spa services, Coffee maker, Swimming pool, Free breakfast",1.68,5977
Comfort Stay,Mumbai,"Child-friendly, Swimming pool, Bar, Mini bar, Airport shuttle, AC, Spa services, WiFi, TV with cable, Restaurant",4.56,10290
Royal Residency,Pune,"Free parking, Restaurant, Airport shuttle, Business center, Spa services, Balcony view, Conference room, Bar, Gym, TV with cable",2.24,12953
Regal Heights,Pune,"Spa services, Pet-friendly, Business center, Gym, Child-friendly, Coffee maker, Mini bar, Free breakfast",3.0,5696
Paradise Stay,Bengaluru,"Business center, Coffee maker, TV with cable, Spa services, Balcony view, Airport shuttle, 24/7 Room service, Gym, AC, Child-friendly",1.8,2776
Green Leaf,Mumbai,"TV with cable, Child-friendly, Free parking, Conference room, Free breakfast, Pet-friendly, Gym",4.36,8029
Urban Retreat,Mumbai,"Free parking, Airport shuttle, Bar, AC, WiFi, Gym, Spa services, TV with cable",4.28,3787
Urban Retreat,Bengaluru,"Balcony view, Coffee maker, Pet-friendly, Laundry service, Conference room, TV with cable, Airport shuttle, AC",3.4,15307
Palm Springs,Mumbai,"Conference room, 24/7 Room service, Bar, Spa services, Free parking, Gym",2.56,5551
Hotel Sunshine,Mumbai,"Gym, Coffee maker, AC, Mini bar, Pet-friendly, Laundry service, TV with cable",2.2,15443
Harmony Hotel,Mumbai,"Gym, TV with cable, Conference room, Coffee maker, Restaurant, Swimming pool, 24/7 Room service, Balcony view, Free parking, Free breakfast",3.04,2859
Regal Heights,Pune,"Coffee maker, Gym, Child-friendly, Conference room, Spa services",2.92,3709
Elite Stay,Bengaluru,"Laundry service, Mini bar, Child-friendly, Airport shuttle, Business center",2.12,6691
Hotel Sunshine,Mumbai,"Gym, AC, TV with cable, Airport shuttle, Restaurant, Laundry service, Conference room",4.08,8852
Skyline Hotel,Bengaluru,"Restaurant, Spa services, Swimming pool, WiFi, Business center, TV with cable, Free parking",3.2,11224
The Sapphire,Mumbai,"Swimming pool, Free breakfast, Conference room, Pet-friendly, Business center, Restaurant, Airport shuttle",1.96,1554
Majestic View,Bengaluru,"Restaurant, Laundry service, Child-friendly, TV with cable, 24/7 Room service, Swimming pool, Airport shuttle, Mini bar",2.6,2706
Palm Springs,Pune,"Child-friendly, Free breakfast, Swimming pool, Coffee maker, Pet-friendly",2.88,4828
Regal Heights,Pune,"Mini bar, Free parking, Restaurant, Balcony view, Coffee maker, Laundry service, Child-friendly, Gym, Conference room",2.88,17868
Urban Retreat,Pune,"WiFi, Pet-friendly, Gym, Balcony view, Restaurant, Bar",1.36,18109
Green Leaf,Bengaluru,"Mini bar, Restaurant, AC, Balcony view, Free breakfast, Airport shuttle",2.76,5272
Harmony Hotel,Pune,"Child-friendly, AC, Swimming pool, Spa services, Laundry service, TV with cable, Pet-friendly, 24/7 Room service, Mini bar, Restaurant",2.92,7589
Ocean View,Bengaluru,"24/7 Room service, Business center, Restaurant, WiFi, Conference room, Laundry service, Spa services",1.8,5059
Emerald Elegance,Mumbai,"WiFi, Gym, Bar, AC, Coffee maker",2.36,12010
Majestic View,Bengaluru,"Pet-friendly, Airport shuttle, Coffee maker, Balcony view, Swimming pool, TV with cable, Mini bar, Bar, Conference room",4.04,4642
Hotel Sunshine,Bengaluru,"Balcony view, Restaurant, Swimming pool, Spa services, Free parking, Pet-friendly, Coffee maker, Free breakfast, Child-friendly",3.84,4254
Regal Heights,Bengaluru,"Child-friendly, Pet-friendly, Bar, Spa services, Free breakfast, Conference room, Restaurant",4.08,8924
Majestic View,Mumbai,"Free breakfast, 24/7 Room service, AC, Mini bar, Coffee maker, Spa services, Pet-friendly, Free parking",4.2,9299
Emerald Elegance,Bengaluru,"Restaurant, Conference room, Pet-friendly, Spa services, Swimming pool, Coffee maker, 24/7 Room service",1.52,5761
The Sapphire,Mumbai,"Gym, Coffee maker, Free breakfast, TV with cable, Balcony view, Conference room, Pet-friendly, Business center, Free parking",2.44,11035
Regal Heights,Bengaluru,"Laundry service, Restaurant, Spa services, WiFi, Mini bar, Conference room, Gym",1.16,13573
Urban Retreat,Bengaluru,"Pet-friendly, AC, Free breakfast, Mini bar, Business center, Swimming pool, Gym, Bar, Airport shuttle",4.16,17497
Paradise Stay,Pune,"Free parking, Swimming pool, Free breakfast, Mini bar, 24/7 Room service, WiFi, AC, TV with cable, Pet-friendly, Restaurant",4.68,1892
Elite Stay,Pune,"Airport shuttle, Balcony view, 24/7 Room service, Conference room, Free parking",1.96,4385
Royal Residency,Pune,"Free breakfast, TV with cable, Coffee maker, Mini bar, Balcony view, Airport shuttle, Pet-friendly, Child-friendly, Swimming pool",2.96,10911
The Sapphire,Pune,"Laundry service, Free breakfast, Pet-friendly, Conference room, Swimming pool",1.72,4550
Green Leaf,Mumbai,"Free parking, Airport shuttle, Swimming pool, Business center, Bar",3.08,16669
Ocean View,Mumbai,"Restaurant, Free breakfast, WiFi, Child-friendly, Free parking, Balcony view, Pet-friendly, Spa services, Airport shuttle, AC",4.84,8859
Skyline Hotel,Mumbai,"AC, Conference room, 24/7 Room service, Restaurant, Swimming pool, Pet-friendly, Spa services",4.08,16769
Ocean View,Mumbai,"Free parking, Bar, Conference room, Restaurant, AC, TV with cable, Coffee maker, 24/7 Room service, WiFi",3.36,19337
Ocean View,Pune,"Bar, WiFi, Mini bar, Gym, Balcony view, Business center, Restaurant",1.68,17004
The Sapphire,Bengaluru,"24/7 Room service, Laundry service, AC, Free breakfast, Spa services, Bar, Pet-friendly",4.88,19525
Grand Palace,Pune,"Pet-friendly, Free breakfast, Restaurant, Business center, Airport shuttle",4.64,4968
Green Leaf,Mumbai,"AC, TV with cable, Airport shuttle, 24/7 Room service, Mini bar, Laundry service, Bar, Gym",1.08,2604
Luxury Inn,Pune,"AC, Laundry service, Bar, Free breakfast, Child-friendly, Pet-friendly, Gym, Business center, Free parking, Mini bar",1.4,1626
Elite Stay,Bengaluru,"Airport shuttle, Restaurant, Laundry service, Business center, Gym, AC, Coffee maker, Mini bar, Child-friendly, Balcony view",1.64,16207
Grand Palace,Bengaluru,"Swimming pool, Free breakfast, Business center, Gym, 24/7 Room service, AC, Free parking, Restaurant",2.88,12226
Palm Springs,Mumbai,"Business center, Balcony view, Child-friendly, Restaurant, Gym, Coffee maker, Bar, 24/7 Room service, Swimming pool, AC",3.48,2326
Royal Residency,Pune,"24/7 Room service, TV with cable, WiFi, Gym, Child-friendly, Laundry service, Business center",1.8,10245
Elite Stay,Bengaluru,"Gym, AC, Bar, Pet-friendly, Swimming pool, WiFi",3.8,5813
Urban Retreat,Pune,"Spa services, Conference room, TV with cable, Free breakfast, AC, Restaurant, Free parking, Business center, Pet-friendly, Airport shuttle",1.52,10223
Harmony Hotel,Mumbai,"AC, Free breakfast, Spa services, Bar, Business center, Coffee maker, Pet-friendly, Airport shuttle",3.12,6861
Emerald Elegance,Pune,"Bar, Spa services, Swimming pool, Coffee maker, Gym, 24/7 Room service, Business center, Balcony view, WiFi, Free parking",2.12,11197
Royal Residency,Bengaluru,"Restaurant, Child-friendly, Balcony view, Mini bar, Coffee maker, Spa services, WiFi, AC, Pet-friendly, TV with cable",3.92,5864
Luxury Inn,Mumbai,"24/7 Room service, Pet-friendly, Laundry service, AC, WiFi, Free parking, Restaurant, Spa services, Child-friendly",3.72,3470
The Sapphire,Pune,"WiFi, Pet-friendly, Swimming pool, Free breakfast, Balcony view, 24/7 Room service, Business center, Restaurant, TV with cable, Mini bar",3.28,2012
Emerald Elegance,Mumbai,"Gym, Swimming pool, AC, Business center, Coffee maker, WiFi, Airport shuttle, Restaurant, Spa services",2.8,17468
Regal Heights,Bengaluru,"Gym, WiFi, Laundry service, AC, Balcony view, Restaurant, Mini bar",3.04,17101
Hotel Sunshine,Pune,"Pet-friendly, Spa services, Gym, Coffee maker, Mini bar",2.64,9779
Urban Retreat,Mumbai,"Laundry service, Airport shuttle, Conference room, Free parking, Free breakfast, Business center, TV with cable, Pet-friendly",3.08,5923
Urban Retreat,Mumbai,"Pet-friendly, WiFi, Child-friendly, Free breakfast, 24/7 Room service, Conference room, Free parking",2.0,3931
Majestic View,Pune,"Airport shuttle, Mini bar, Swimming pool, Gym, WiFi, 24/7 Room service",3.16,13373
Skyline Hotel,Pune,"Gym, Business center, TV with cable, Airport shuttle, AC, 24/7 Room service, Coffee maker, Free parking, Mini bar, Restaurant",4.96,18922
Harmony Hotel,Bengaluru,"Bar, 24/7 Room service, Business center, Gym, Mini bar, Swimming pool, Free parking",1.32,11982
Luxury Inn,Pune,"Laundry service, Coffee maker, Spa services, Bar, Airport shuttle, Restaurant",3.92,19575
Regal Heights,Bengaluru,"Airport shuttle, TV with cable, Laundry service, Mini bar, Free parking",4.92,10846
Harmony Hotel,Mumbai,"Laundry service, Business center, Coffee maker, Gym, TV with cable, Bar, Mini bar, Swimming pool, 24/7 Room service",4.6,12179
Grand Palace,Bengaluru,"Free breakfast, 24/7 Room service, AC, Coffee maker, Swimming pool",3.88,3377
Ocean View,Mumbai,"Coffee maker, TV with cable, Bar, Child-friendly, Free parking, Free breakfast, Balcony view, Swimming pool, Restaurant, Business center",4.76,19553
Royal Residency,Pune,"Gym, Spa services, Business center, Restaurant, Balcony view, TV with cable, Swimming pool, Child-friendly",1.04,10780
Skyline Hotel,Mumbai,"Conference room, Mini bar, Bar, Spa services, 24/7 Room service, AC, Gym, Swimming pool, Restaurant",2.12,7483
Palm Springs,Pune,"Coffee maker, Laundry service, TV with cable, Gym, WiFi, 24/7 Room service, Child-friendly, Spa services, AC, Mini bar",1.04,15924
Skyline Hotel,Bengaluru,"Bar, Laundry service, WiFi, 24/7 Room service, Mini bar, Spa services, Swimming pool, Airport shuttle",2.4,6017
Luxury Inn,Pune,"Mini bar, Spa services, AC, TV with cable, Airport shuttle, Swimming pool, Pet-friendly, Restaurant, Gym",4.4,17952
Luxury Inn,Mumbai,"Bar, Balcony view, Swimming pool, Gym, Pet-friendly, Restaurant, Coffee maker, 24/7 Room service, AC",4.36,17959
Grand Palace,Mumbai,"TV with cable, Business center, Pet-friendly, Swimming pool, Balcony view, Free breakfast, AC, WiFi, Coffee maker, Spa services",4.6,15694
Elite Stay,Pune,"24/7 Room service, Restaurant, WiFi, Child-friendly, Gym, Free breakfast, TV with cable, Business center, AC",3.12,5028
Harmony Hotel,Bengaluru,"Restaurant, Swimming pool, Balcony view, TV with cable, Child-friendly, AC, Bar",1.6,9566
Skyline Hotel,Bengaluru,"Balcony view, Free parking, TV with cable, Coffee maker, Conference room",4.72,15034
Hotel Sunshine,Bengaluru,"Coffee maker, WiFi, Balcony view, Spa services, AC",4.6,12047
The Sapphire,Pune,"Mini bar, TV with cable, Business center, Airport shuttle, Conference room, Child-friendly, Free parking, 24/7 Room service, Laundry service, AC",2.32,10316
Grand Palace,Mumbai,"Conference room, Free breakfast, Bar, Restaurant, Airport shuttle, Free parking",1.16,19608
Majestic View,Pune,"Mini bar, Free breakfast, Restaurant, Business center, Child-friendly, AC",2.88,1956
Harmony Hotel,Pune,"Business center, AC, Restaurant, Airport shuttle, Pet-friendly, Laundry service, Balcony view, Bar, Free parking",2.36,16725
The Sapphire,Mumbai,"Swimming pool, 24/7 Room service, TV with cable, Business center, WiFi, Gym, Conference room, Mini bar",5.0,12579
Urban Retreat,Mumbai,"Conference room, Pet-friendly, Laundry service, 24/7 Room service, Airport shuttle, WiFi, Balcony view, Restaurant",1.84,13744
Green Leaf,Pune,"Gym, Laundry service, Restaurant, Airport shuttle, Mini bar, Swimming pool, Business center",2.08,6816
Skyline Hotel,Mumbai,"Pet-friendly, Swimming pool, Coffee maker, Laundry service, WiFi, Mini bar, Restaurant, Gym, AC, 24/7 Room service",4.16,1662
Royal Residency,Pune,"Swimming pool, Mini bar, Laundry service, Free parking, Airport shuttle, TV with cable, Spa services, Gym, 24/7 Room service",2.36,9648
Palm Springs,Mumbai,"WiFi, Business center, TV with cable, Coffee maker, Restaurant, Mini bar, Bar, Free breakfast, Laundry service, Conference room",1.44,9008
Grand Palace,Bengaluru,"Conference room, Spa services, Laundry service, Business center, WiFi, Balcony view",2.48,16154
Ocean View,Bengaluru,"Balcony view, Gym, Restaurant, 24/7 Room service, Mini bar, TV with cable, Laundry service, Free breakfast",2.92,18840
Regal Heights,Pune,"Laundry service, Conference room, Airport shuttle, Mini bar, Spa services, Pet-friendly",1.16,11240
Luxury Inn,Pune,"Swimming pool, AC, Coffee maker, Mini bar, Gym, Spa services",4.88,18564
Majestic View,Bengaluru,"Laundry service, Coffee maker, AC, 24/7 Room service, Bar, Free breakfast, Free parking",1.12,19361
Palm Springs,Mumbai,"Spa services, Laundry service, Balcony view, Bar, Airport shuttle",1.88,9786
